BoatCode,StrokeLength(m),TotalDistance(m),ElapsedTime,Pace(/500m),Speed(m/s),StrokeRate(spm),StrokeCount,Lat,Lon,Timestamp
010,0.00,0.00,0.0,90:42.8,0.09,0.0,1,31.9779993,120.9096111,2026-03-01 01:14:22.653
010,1.48,1.48,1.7,09:32.3,0.87,35.4,2,31.9780125,120.9096127,2026-03-01 01:14:24.347
010,2.85,4.33,4.2,07:23.2,1.13,23.8,3,31.9780378,120.9096173,2026-03-01 01:14:26.873
010,1.48,5.81,5.8,08:41.6,0.96,38.9,4,31.9780510,120.9096191,2026-03-01 01:14:28.417
010,1.62,7.43,8.3,13:12.0,0.63,23.4,5,31.9780654,120.9096218,2026-03-01 01:14:30.983
010,1.17,8.60,8.7,02:40.7,3.11,80.0,6,31.9780759,120.9096229,2026-03-01 01:14:31.359
010,1.36,9.96,10.2,09:06.0,0.92,40.4,7,31.9780881,120.9096241,2026-03-01 01:14:32.844
010,1.36,11.32,15.5,32:47.6,0.25,11.2,8,31.9781003,120.9096257,2026-03-01 01:14:38.196
010,1.53,12.85,19.3,20:35.0,0.40,15.9,9,31.9781139,120.9096281,2026-03-01 01:14:41.975
010,1.72,14.57,23.0,17:51.8,0.47,16.3,10,31.9781293,120.9096303,2026-03-01 01:14:45.662
010,1.70,16.27,25.9,14:00.6,0.59,21.0,11,31.9781445,120.9096321,2026-03-01 01:14:48.520
010,1.51,17.78,29.9,22:12.1,0.38,14.9,12,31.9781579,120.9096348,2026-03-01 01:14:52.543
